SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CC[NH+]1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,"46220502",2,Done,4.31,-4.06753,"5edu_chain-A_Grid",-4.20643,-1.00397,-0.456,-0,-0.173461,-30.5922,-8.16299,0.397187,-0.216128,-50.9018,-38.7552,1.68964
CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,"46220502",3,Done,3.43,-2.81001,"5edu_chain-A_Grid",-3.88241,-1.32169,-0.107686,-0.294494,-0.0727205,-38.7405,-3.35088,0.398638,-0.0447985,-50.9896,-42.0914,2.80671
CCN1CC[NH+](Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,"46220502",4,Done,3.12,-2.30274,"5edu_chain-A_Grid",-4.18524,-1.41604,0,-0,-0.65178,-35.7373,-4.10393,0.397187,-0.112157,-48.8382,-39.8412,6.75889
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1[NH2+][C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,"9811704",5,Done,51.89,-5.05996,"5edu_chain-A_Grid",-5.29366,-0.555386,-0.192952,-0,-0.078667,-32.4784,-22.0184,0.460178,-0.000144277,-63.8112,-54.4969,22.5805
C[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,"9811704",6,Done,47.62,-4.89606,"5edu_chain-A_Grid",-5.56026,-0.694844,-0.32,-0,0,-20.1591,-27.9699,0.462545,0,-56.4281,-48.1291,22.794
Cc1ccc(/C(=C\C[NH+]2CCCC2)c2cccc(/C=C/C(=O)[O-])n2)cc1,"5284514",7,Done,3.82,-6.39847,"5edu_chain-A_Grid",-6.41147,-1.98954,-0.36,-0,-1.19171,-27.1577,-14.6422,0.783985,-0.1,-70.0251,-41.7999,3.07338
Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)[O-])n2)cc1,"5284514",8,Done,3.73,-4.43825,"5edu_chain-A_Grid",-6.71385,-2.08743,-0.36,-0,-1.15004,-30.9555,-15.0442,0.788031,-0.1,-74.596,-45.9997,6.01178
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCC[N@H+]3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,"138611145",9,Done,3.88,-5.21688,"5edu_chain-A_Grid",-5.23018,-1.19812,-0.618001,-0,-0.466618,-37.7924,-8.64298,0.338628,-0.1,-59.415,-46.4354,8.67625
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCC[N@@H+]3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,"138611145",10,Done,3.44,-4.23214,"5edu_chain-A_Grid",-4.24544,-1.70399,-0.2,-0,0.832753,-36.6585,-10.5327,0.338628,-0.1,-51.827,-47.1913,14.0573
C=C(F)C(=O)N1CCN(c2nc(OC[C@@H]3CCCN3C)nc3c2CCN(c2cccc4cccc(Cl)c24)C3)C[C@@H]1CC#N,"138611145",11,Done,3.64,-2.17294,"5edu_chain-A_Grid",-4.62434,-1.39391,-0.32,-0,-0.567666,-38.1956,-5.15886,0.340839,0,-51.8281,-43.3544,6.68668
O=C1c2c(O)cccc2[C@@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,"9866696",12,Done,6.63,-4.59134,"5edu_chain-A_Grid",-4.60894,-1.43071,0,-0,-0.664738,-28.7587,-9.42952,0.338877,0,-47.7757,-38.1882,2.53898
O=C1c2c(O)cccc2[C@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cc(CO)cc(O)c21,"9866696",13,Done,6.27,-4.60819,"5edu_chain-A_Grid",-4.62579,-1.50652,0,-0,-0.662321,-24.6382,-10.4261,0.338877,0,-45.0845,-35.0643,1.80795
O=C1c2c([O-])cc(CO)cc2[C@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cccc(O)c21,"9866696",14,Done,5.66,-2.2981,"5edu_chain-A_Grid",-4.6194,-1.49053,-0.111998,-0,-0.67161,-28.1966,-8.50523,0.340357,0,-47.896,-36.7018,1.60872
O=C1c2c([O-])cc(CO)cc2[C@@H]([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c2cccc(O)c21,"9866696",15,Done,5.52,-2.35839,"5edu_chain-A_Grid",-4.67969,-1.54409,-0.139752,-0,-0.686705,-23.4431,-9.84898,0.340357,0,-43.8717,-33.2921,2.44867
