Smiles,IC50_HDAC6,Label
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)c(Cl)cc1Cl,60.0,1
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCC(=O)NO)ccc1Cl,10.0,1
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCC(=O)NO)ccc1Cl,80.0,1
C#CCN(C)CCCOc1cc(NC(=O)CCCCCCCCC(=O)NO)ccc1Cl,160.0,1
C#CCN(C)CCCOc1cc(NCc2ccc(/C=C/C(=O)NO)cc2)ccc1Cl,100.0,1
C#CCN(C)CCCOc1cc(NCc2ccc(C(=O)NO)cc2)ccc1Cl,10.0,1
C#CCN(C)CCCOc1ccc(NC(=O)CCCCCCC(=O)NO)cc1Cl,6.0,1
C#CCN(C)CCCOc1cccc(NC(=O)CCCCCCC(=O)NO)c1Cl,90.0,1
C#CCN(C)Cc1cc2cc(OCCCN3CCCCC3)ccc2n1C,10000.0,0
C#CCN(C)Cc1cccc(NC(=O)CCCCCCC(=O)NO)c1,20.0,1
C#CCN1C(=O)/C(=C2\Nc3ccccc3\C2=N/OCCCC(=O)NO)c2ccccc21,1866.3,0
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCCCCCCC(=O)NO)cc1,5000.0,0
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCCNC(=O)c2ccc(C(=O)NO)cc2)cc1,48.42,1
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCCNC(=O)c2ccc(C(=O)NO)cc2)cc1,176.82,1
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCc2ccc(C(=O)NO)cc2)cc1,6.63,1
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NCc2cccc(C(=O)NO)c2)cc1,560.6,1
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)NO)cc1,398.69,1
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)Nc2ccc(C(=O)NO)cc2)cc1,42.57,1
C#CCN1C(=O)CNC(=O)/C1=C/c1ccc(C(=O)Nc2cccc(C(=O)NO)c2)cc1,123.24,1
C#CCN1CCN(CCCOc2ccc3c(ccn3S(=O)(=O)c3ccc(C(=O)NN)cc3)c2)CC1,10000.0,0
C#CCN1CCN(CCCOc2ccc3c(ccn3S(=O)(=O)c3ccc(C(=O)NNCCC)cc3)c2)CC1,10000.0,0
C#CCN1CCN(CCCOc2ccc3c(ccn3S(=O)(=O)c3ccc(C(=O)NO)cc3)c2)CC1,35.0,1
C#CCN1CCN(CCCOc2ccc3c(ccn3S(=O)(=O)c3ccc(C(=O)Nc4ccccc4N)cc3)c2)CC1,3333.0,0
C#CCn1c(=O)c(OCc2ccc(C(=O)NO)cc2)c(-c2ccccc2)c2ccccc21,82.3,1
C#Cc1ccc(-c2nc3ccc(C(=O)NO)cc3[nH]2)cc1,19.0,1
C#Cc1ccc(CNC(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O4)[C@H]32)cc1,34.0,1
C#Cc1ccc(NC(=O)O[C@H]2C[C@@H](C)C=C3C=C[C@H](C)[C@H](CC[C@@H]4C[C@@H](O[Si](C)(C)C(C)(C)C)CC(=O)O4)[C@H]32)cc1,127.4,1
C#Cc1cccc(Nc2ncnc3cc(NC(=O)CCCCCCC(=O)NO)sc23)c1,21.29,1
C#Cc1cccc(Nc2ncnc3cc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)cc4)ccc23)c1,32000.0,0
C#Cc1cccc(Nc2ncnc3cc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)nc4)ccc23)c1,32000.0,0
C#Cc1cccc(Nc2ncnc3cc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)s4)ccc23)c1,32000.0,0
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,765.2,1
C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,32000.0,0
C#Cc1cccc(Nc2ncnc3ccc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)cc4)cc23)c1,32000.0,0
C#Cc1cccc(Nc2ncnc3ccc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)nc4)cc23)c1,32000.0,0
C#Cc1cccc(Nc2ncnc3ccc(NC(=O)c4ccc(C(=O)Nc5ccccc5N)s4)cc23)c1,32000.0,0
C#Cc1cccc(Nc2ncnc3ccc(OCc4ccc(C(=O)Nc5ccccc5N)cc4)cc23)c1,32000.0,0
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)NO)c4)cc23)c1,7.3,1
C#Cc1cccc(Nc2ncnc3ccc(S(=O)(=O)n4ccc(/C=C/C(=O)Nc5ccccc5N)c4)cc23)c1,32000.0,0
C#Cc1nc(/C=C/C(=O)NO)cs1,160.0,1
C#Cc1nc(/C=C/C=C/C(=O)NO)cs1,160.0,1
C#Cc1nc(/C=C/CCCCCC(=O)NO)cs1,10.0,1
C#Cc1nc(/C=C\CCCCCC(=O)NO)cs1,25.0,1
C#Cc1nc(C(=O)NCCCCCCC(=O)NO)cs1,1.0,1
C/C(=N\N(C)C(=O)c1ccc(N(C)C)cc1)c1ccc(C(=O)NO)cc1,97.0,1
C/C(=N\NC(=O)c1ccc(N(C)C)cc1)c1ccc(C(=O)NO)cc1,56.0,1
C/C(=N\NC(=S)NCCCCCC(=O)NO)c1ccc(Br)cc1,34.6,1
C/C(=N\NC(=S)NCCCCCC(=O)NO)c1ccc(F)cc1,62.86,1
C/C(=N\NC(=S)NCCCCCC(=O)NO)c1cccc(Br)c1,37.73,1
C/C(=N\Nc1nnc2c(n1)[nH]c1c(C)cccc12)c1ccccn1,3698.0,0
C/C(=N\O)c1ccc2c(c1)N(Cc1ccc(C(=O)NO)cc1)c1ccccc1S2,10.8,1
C/C(=N\O)c1ccc2c(c1)N(Cc1ccc(C(=O)NO)cc1)c1ccccc1[S+]2[O-],15.6,1
C/C=C/c1sc(-c2nccs2)nc1C(=O)NCCCCC(=O)NO,378.0,1
C/C=C/c1sc(-c2nccs2)nc1C(=O)NCCCNC(=O)CS,470.0,1
C/C=C1\NC(=O)[C@@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,560.0,1
C/C=C1\NC(=O)[C@@H](CSC)NC(=O)[C@@H](C(C)C)CC(=O)C[C@@H](/C=C/CCSC)OC(=O)[C@H](C(C)C)NC1=O,100000.0,0
C/C=C1\NC(=O)[C@H](CS)NC(=O)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CS)OC(=O)[C@H](C(C)C)NC1=O,790.0,1
C/C=C1\NC(=O)[C@H]2CSSCC/C=C/[C@H](CC(=O)N[C@H](C(C)C)C(=O)N2)OC(=O)[C@H](C(C)C)NC1=O,30777.735294117647,0
C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,331.0,1
C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSC(=O)CCCCCCC)OC(=O)[C@H](C(C)C)NC1=O,4380.0,0
C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSC(C)=O)OC(=O)[C@H](C(C)C)NC1=O,4630.0,0
C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSSCCCCCCC)OC(=O)[C@H](CCCCN)NC1=O,10000.0,0
C/C=C1\NC(=O)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSSCCCCCCC)OC(=O)[C@H](CCCCNC(=O)CCCCC[N+]2=C(/C=C/C=C/C=C3/N(CC)c4ccc5c(S(=O)(=O)O)cc(S(=O)(=O)O)cc5c4C3(C)C)C(C)(C)c3c2ccc2c(S(=O)(=O)[O-])cc(S(=O)(=O)O)cc32)NC1=O,70.0,1
C/C=C1\NC(=O)c2csc(n2)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,459.0,1
C/C=C1\NC(=O)c2csc(n2)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCSC(=O)CCCCCCC)OC(=O)[C@H](C(C)C)NC1=O,10000.0,0
C=C(CCCCCNc1cc(-c2ccc(N3CCN(C(=O)OC(C)(C)C)CC3)nc2)cc(C(=O)NCc2c(C)cc(C)[nH]c2=O)c1C)NO,1230.0,0
C=C(Cc1ccc(O)c(Br)c1)C(=O)NCCS,1100.0,0
C=C(Cc1ccc(O)c(Br)c1)C(=O)NCCSSCCNC(=O)C(=C)Cc1ccc(O)c(Br)c1,20200.0,0
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc(OC)cc1/C=C/C(=O)NO,5000.0,0
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)c(/C=C/C(=O)NO)cn2C,6900.0,0
C=C(c1cc(OC)c(OC)c(OC)c1)c1ccc2c(c1)cc(/C=C/C(=O)NO)n2C,3800.0,0
C=C(c1ccc(OC)c(/C=C/C(=O)NO)c1)c1cc(OC)c(OC)c(OC)c1,15000.0,0
C=C(c1ccc(OC)c(OC(C)C(=O)NO)c1)c1cc(C)nc2ccccc12,4682.0,0
C=C(c1ccc(OC)c(OC(F)C(=O)NO)c1)c1cc(C)nc2ccccc12,459.0,1
C=C1C(=O)N(C)[C@H](C)[C@H](O)N1C(=O)/C=C/C=C\[C@@H](CO)[C@H](O)[C@H](C)CCC,5000.0,0
C=C1CN(Cc2ccc(C(=O)Nc3ccccc3N)cc2)C(=O)c2ccccc21,10000.0,0
C=CCCC(=O)NCCCCN1CCc2nc(C(=O)NO)sc2C1,24750.0,0
C=CCCC(=O)NCCCN1CCc2nc(C(=O)NO)sc2C1,58670.0,0
C=CCCC(=O)Nc1ccc(C(=O)N2CCc3nc(C(=O)NO)sc3C2)cc1,390.0,1
C=CCCC(=O)Nc1ccc(C(C)N2CCc3nc(C(=O)NO)sc3C2)cn1,13500.0,0
C=CCCCNc1cc(/C=C/C(=O)NO)ccc1SCCN(CC)CC,310.0,1
C=CCCn1cc(-c2nc(Nc3ccc(NC(=O)CCCCCCC(=O)NO)cc3)nc3[nH]ccc23)cn1,0.25,1
C=CCN1CCc2c(c3ccccc3n2Cc2ccc(C(=O)NO)cc2)C1,0.972,1
C=CCNc1cc(/C=C/C(=O)NO)ccc1SCCN(CC)CC,350.0,1
C=CCOc1ccc2oc(C(=O)NCc3ccc(C(=O)NNCCC)cc3)cc2c1,10000.0,0
C=CCn1c(SCCCCCC(=O)NO)nnc1-c1ccncc1,287960.0,0
C=CCn1c(SCCCCCC(=O)Nc2ccccc2N)nnc1-c1ccncc1,9790.0,0
C=CCn1c(SCCCCCC(=O)O)nnc1-c1ccncc1,300000.0,0
C=CCn1c(SCc2ccc(C(=O)NO)cc2)nnc1-c1ccncc1,9860.0,0
C=CCn1c(SCc2ccc(C(=O)Nc3ccccc3N)cc2)nnc1-c1ccncc1,9960.0,0
C=CN1C(=O)CN(Cc2ccc(C(=O)NO)cc2)C(=O)C1Cc1ccccc1,25.4,1
C=C[C@@]1(C)CC[C@H](C(=C)CN2CCN(C(=O)CCCCCCC(=O)NO)CC2)C[C@@H]1C(=C)Cn1cccn1,9.0,1
C=C[C@]1(C)CC[C@@H](C(=C)Cn2cccn2)C[C@H]1C(=C)CN1CCN(C(=O)CCCCCCC(=O)NO)CC1,14.0,1
C=Cc1c(C)c2cc3nc(c(C(=O)OC)c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)OC)[C@@H](CCC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1)[C@@H]3C,100000.0,0
C=Cc1sc(-c2nccs2)nc1C(=O)NCCCCC(=O)NO,1590.3333333333333,0
C=Cc1sc(-c2nccs2)nc1C(=O)NCCCNC(=O)CS,692.0,1
CC#CCOc1ccc(C(=O)N[C@H](C(=O)NO)C(C)(C)N)cc1,30000.0,0
CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,118.73036470588235,1
CC(/C=C/C(=O)NO)=C\[C@@H](C)[C@H]1CC[C@H]2/C(=C/C=C3\C[C@@H](O)C[C@@H](O)C3)CCC[C@]12C,580.0,1
CC(/C=C/C(=O)NO)=C\[C@H](C)C(=O)c1ccc(N(C)C)cc1,22.0,1
CC(/C=C/C(=O)NO)=C\c1ccc(NS(=O)(=O)c2ccc(N(CCCl)CCCl)cc2)cc1,479.0,1
CC(/C=C/c1ccccc1)=C\C(=O)NCCCCCC(=O)NO,3.5,1
CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,13.0,1
CC(=O)CCCCC[C@H](NC(=O)C1CCN(C)CC1)c1ncc(-c2ccc3ccccc3c2)[nH]1,10.0,1
CC(=O)CCCCC[C@H](NC1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,13.0,1
CC(=O)CSc1nc(C)cc(O)n1,100000.0,0
CC(=O)N(C)C[C@@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1,360.0,1
CC(=O)N(C)C[C@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1,93.0,1
CC(=O)N(C)c1ccc(C(=O)CSc2nc(C)cc(O)n2)cc1,100000.0,0
CC(=O)N(C[C@@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1)CC(F)(F)F,110.0,1
CC(=O)N(C[C@H](Nc1ncc(-c2nnc(C(F)F)o2)cn1)c1ccc(F)cc1)CC(F)(F)F,690.0,1
CC(=O)N(Cc1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1ccc(C(=O)NO)cc1,1000.0,1
CC(=O)N(Cc1ccc(C(C)(C)C)cc1)c1ccc(C(=O)NO)cc1,71.3,1
CC(=O)N(Cc1cccc(C(F)(F)F)c1)c1ccc(C(=O)NO)cc1,118.0,1
CC(=O)N(O)CCCCCC(=O)Nc1ccccc1,100000.0,0
